NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.9,0.3,0.3,0.15676843537273744,0.021176614301907447,0.1533440561009654,0.007378872477291336,130.5,12.647134062703689,-956.35,16.653152854639867,0.028112937920581622,,,,
0.001,0.9,0.4,0.4,0.15643961111077012,0.022269102419451993,0.15309107416292533,0.009294693476128322,129.75,12.593152901477847,-953.85,16.310349475103212,0.02623375853735674,,,,
0.001,0.9,0.5,0.5,0.1560454489681685,0.023799164166098875,0.15270364366026007,0.012220381525594298,128.85,12.779964788683884,-950.35,15.531500249492987,0.023348228167223446,,,,
0.001,0.9,0.6,0.6,0.15541281292395553,0.026090197024515493,0.152139759922338,0.01682958004320633,127.4,12.483589227461792,-945.1,14.559876373101512,0.0187673217807554,,,,
0.001,0.9,0.7,0.7,0.1549525503610524,0.029303250052921975,0.15202963851399523,0.02383144528016834,126.35,12.799511709436427,-937.75,14.882456114499409,0.011729994269359978,,,,
0.001,0.9,0.8,0.8,0.15514672131465992,0.03135212424547575,0.15298979085015768,0.028703859969154127,126.79999999999998,12.932903772935147,-933.05,14.722346959639289,0.0067771688333204405,,,,
0.001,0.9,0.9,0.9,0.15569482542344681,0.03284075730293795,0.15459566381260945,0.03177670001889828,128.05,13.709394589112973,-929.65,15.219313387929159,0.003624828559284693,,,,
0.015,0.001,0.001,0.001,0.09821279483286299,0.44050733862060876,0.05908308600335712,0.39649932911807917,-3.499999999999998,4.8836461788299115,3.2999999999999927,37.229155241557656,0.9326380231320754,,,,
0.015,0.001,0.015,0.015,0.09412415959230651,0.4843701427783846,0.04455172036893792,0.7075561501304783,-12.85,6.459682654743958,103.59999999999998,38.61139728111375,0.8650209756154166,,,,
0.015,0.001,0.1,0.1,0.07997877532361634,0.6221134864432333,0.03432066318473899,0.8933764639060531,-45.25,8.190695941127348,419.0,44.79843747275124,0.6382796756958262,,,,
0.015,0.001,0.2,0.2,0.07012261168254662,0.7264342029847981,0.034859124940968426,0.9285279932530217,-67.8,11.26765281680262,657.8,35.422591661254835,0.4596998420294893,,,,
0.015,0.001,0.3,0.3,0.06350946282472683,0.7996204664087103,0.03605984899383143,0.9423793299856544,-82.95,9.319200609494361,825.3,41.05374526154707,0.32860646511693636,,,,
0.015,0.001,0.4,0.4,0.057304433922098094,0.8540815631642819,0.0365786971329287,0.9498300016437708,-97.15,10.041289757795061,949.95,45.107067073796756,0.22815144066011164,,,,
0.015,0.001,0.5,0.5,0.0517797559416141,0.8959098612501386,0.03661287557597555,0.9547831191876568,-109.8,10.481412118603105,1045.7,40.33001363748837,0.14447050132602285,,,,
0.015,0.001,0.6,0.6,0.04819887339490842,0.9267290915200327,0.03686896452907473,0.9580830548863446,-118.0,10.677078252031311,1116.25,37.6813946132571,0.07713988614234885,,,,
0.015,0.001,0.7,0.7,0.04655557145420204,0.9459433750643234,0.039346256435078754,0.9600248993089261,-121.75,10.391703421480043,1160.15,32.954931345702995,0.032154629778542825,,,,
0.015,0.001,0.8,0.8,0.04705686161962853,0.9541359721118903,0.0433340520588404,0.9608362179686555,-120.6,11.676472069936194,1178.9,33.2954951907912,0.012048993262354235,,,,
0.015,0.001,0.9,0.9,0.04917792399756779,0.9578756344859019,0.04743387112408206,0.961106002464307,-115.75,12.632794623518581,1187.45,33.686013418034506,0.005115211447691259,,,,
0.015,0.015,0.001,0.001,0.09803781345385554,0.4265642884170807,0.07143332616427846,0.2672422790369907,-3.900000000000003,4.825971404805465,-28.599999999999994,35.18010801575231,0.9074408351550579,,,,
0.015,0.015,0.015,0.015,0.09408045816486735,0.46838898053937106,0.05372942862734133,0.5712652519366547,-12.950000000000003,6.0619716264594965,67.05,37.74980132398049,0.8426068352675633,,,,
0.015,0.015,0.1,0.1,0.08032967789977376,0.6030746275405567,0.039120762232588,0.8251548618145487,-44.45,8.0154538237083,375.45,40.02058845144586,0.6206890261073142,,,,
0.015,0.015,0.2,0.2,0.07077784431185727,0.7058219659897379,0.03812119785157704,0.8805138875804763,-66.3,10.76615065842941,610.65,32.376341671041224,0.44483987458141455,,,,
0.015,0.015,0.3,0.3,0.06431830881075029,0.7775893923758586,0.03865428928716265,0.9029208855141555,-81.1,8.938120607823544,774.9,38.30522157617678,0.3161054194213882,,,,
0.015,0.015,0.4,0.4,0.0583111582832717,0.8309133066108088,0.038850093805321145,0.9151283479116005,-94.85,9.264313250317047,896.95,39.468310072765966,0.21798884134484847,,,,
